柠檬精,Date,DecryptedData
270,2019-09-28,1151
271,2019-09-29,1260
272,2019-09-30,1182
273,2019-10-01,1064
274,2019-10-02,1089
275,2019-10-03,1109
276,2019-10-04,1093
277,2019-10-05,1126
278,2019-10-06,1081
279,2019-10-07,1093
280,2019-10-08,1097
281,2019-10-09,1163
282,2019-10-10,1113
283,2019-10-11,1160
284,2019-10-12,1162
285,2019-10-13,1026
286,2019-10-14,1152
287,2019-10-15,1140
288,2019-10-16,1142
289,2019-10-17,1116
290,2019-10-18,1122
291,2019-10-19,1068
292,2019-10-20,1044
293,2019-10-21,1161
294,2019-10-22,1165
295,2019-10-23,1069
296,2019-10-24,1143
297,2019-10-25,1089
298,2019-10-26,1036
299,2019-10-27,1032
300,2019-10-28,998
301,2019-10-29,970
302,2019-10-30,1096
303,2019-10-31,1060
304,2019-11-01,1126
305,2019-11-02,1015
306,2019-11-03,1023
307,2019-11-04,1085
308,2019-11-05,1058
309,2019-11-06,1052
310,2019-11-07,1110
311,2019-11-08,1057
312,2019-11-09,986
313,2019-11-10,1037
314,2019-11-11,1072
315,2019-11-12,1081
316,2019-11-13,1036
317,2019-11-14,1057
318,2019-11-15,1045
319,2019-11-16,1063
320,2019-11-17,1041
321,2019-11-18,1079
322,2019-11-19,1068
323,2019-11-20,1453
324,2019-11-21,1345
325,2019-11-22,1195
326,2019-11-23,1138
327,2019-11-24,1088
328,2019-11-25,1142
329,2019-11-26,1139
330,2019-11-27,1100
331,2019-11-28,1054
332,2019-11-29,1142
333,2019-11-30,991
334,2019-12-01,1029
335,2019-12-02,2154
336,2019-12-03,3592
337,2019-12-04,2260
338,2019-12-05,1960
339,2019-12-06,1805
340,2019-12-07,1261
341,2019-12-08,1176
342,2019-12-09,1290
343,2019-12-10,1651
344,2019-12-11,1879
345,2019-12-12,1376
346,2019-12-13,1325
347,2019-12-14,1191
348,2019-12-15,1217
349,2019-12-16,1695
350,2019-12-17,1408
351,2019-12-18,1834
352,2019-12-19,1433
353,2019-12-20,1382
354,2019-12-21,1773
355,2019-12-22,1406
356,2019-12-23,1364
357,2019-12-24,1444
358,2019-12-25,1534
359,2019-12-26,1429
360,2019-12-27,1312
361,2019-12-28,1086
362,2019-12-29,1068
363,2019-12-30,1355
364,2019-12-31,1692
