捡肥皂,Date,DecryptedData
274,2013-10-02,10771
275,2013-10-03,11148
276,2013-10-04,10973
277,2013-10-05,9550
278,2013-10-06,8847
279,2013-10-07,9278
280,2013-10-08,9106
281,2013-10-09,10207
282,2013-10-10,11902
283,2013-10-11,11087
284,2013-10-12,10623
285,2013-10-13,10510
286,2013-10-14,11120
287,2013-10-15,9454
288,2013-10-16,10541
289,2013-10-17,9714
290,2013-10-18,9208
291,2013-10-19,8591
292,2013-10-20,8551
293,2013-10-21,8298
294,2013-10-22,13177
295,2013-10-23,8871
296,2013-10-24,8251
297,2013-10-25,8903
298,2013-10-26,7642
299,2013-10-27,7921
300,2013-10-28,7999
301,2013-10-29,7825
302,2013-10-30,8429
303,2013-10-31,8230
304,2013-11-01,7984
305,2013-11-02,8296
306,2013-11-03,8376
307,2013-11-04,7548
308,2013-11-05,7689
309,2013-11-06,8232
310,2013-11-07,8256
311,2013-11-08,10664
312,2013-11-09,9625
313,2013-11-10,10899
314,2013-11-11,11180
315,2013-11-12,10732
316,2013-11-13,9286
317,2013-11-14,8518
318,2013-11-15,7513
319,2013-11-16,7304
320,2013-11-17,7504
321,2013-11-18,7777
322,2013-11-19,11291
323,2013-11-20,10724
324,2013-11-21,10048
325,2013-11-22,8655
326,2013-11-23,8789
327,2013-11-24,7801
328,2013-11-25,9772
329,2013-11-26,9103
330,2013-11-27,8974
331,2013-11-28,7682
332,2013-11-29,7631
333,2013-11-30,7854
334,2013-12-01,8096
335,2013-12-02,7792
336,2013-12-03,8303
337,2013-12-04,8196
338,2013-12-05,8460
339,2013-12-06,8123
340,2013-12-07,9025
341,2013-12-08,10280
342,2013-12-09,8600
343,2013-12-10,7641
344,2013-12-11,7926
345,2013-12-12,7240
346,2013-12-13,7378
347,2013-12-14,6990
348,2013-12-15,7092
349,2013-12-16,6607
350,2013-12-17,6225
351,2013-12-18,6022
352,2013-12-19,6512
353,2013-12-20,5844
354,2013-12-21,5690
355,2013-12-22,5817
356,2013-12-23,6121
357,2013-12-24,5755
358,2013-12-25,6695
359,2013-12-26,7976
360,2013-12-27,7937
361,2013-12-28,6405
362,2013-12-29,6522
363,2013-12-30,7663
364,2013-12-31,7099
