666,Date,DecryptedData
265,2018-09-23,2612
266,2018-09-24,3425
267,2018-09-25,2621
268,2018-09-26,2534
269,2018-09-27,2484
270,2018-09-28,2485
271,2018-09-29,2536
272,2018-09-30,2673
273,2018-10-01,2732
274,2018-10-02,2592
275,2018-10-03,2571
276,2018-10-04,2552
277,2018-10-05,2531
278,2018-10-06,2643
279,2018-10-07,2597
280,2018-10-08,2423
281,2018-10-09,2370
282,2018-10-10,2366
283,2018-10-11,2391
284,2018-10-12,2415
285,2018-10-13,2623
286,2018-10-14,2289
287,2018-10-15,1989
288,2018-10-16,2284
289,2018-10-17,1954
290,2018-10-18,2436
291,2018-10-19,2325
292,2018-10-20,2515
293,2018-10-21,2059
294,2018-10-22,2081
295,2018-10-23,2157
296,2018-10-24,2277
297,2018-10-25,2302
298,2018-10-26,2233
299,2018-10-27,2362
300,2018-10-28,1984
301,2018-10-29,2019
302,2018-10-30,2026
303,2018-10-31,2147
304,2018-11-01,2349
305,2018-11-02,2390
306,2018-11-03,2462
307,2018-11-04,2604
308,2018-11-05,2367
309,2018-11-06,2346
310,2018-11-07,2441
311,2018-11-08,2375
312,2018-11-09,2389
313,2018-11-10,2378
314,2018-11-11,2229
315,2018-11-12,2310
316,2018-11-13,2155
317,2018-11-14,2394
318,2018-11-15,2380
319,2018-11-16,2379
320,2018-11-17,2471
321,2018-11-18,2433
322,2018-11-19,2238
323,2018-11-20,2208
324,2018-11-21,2341
325,2018-11-22,2256
326,2018-11-23,2296
327,2018-11-24,2421
328,2018-11-25,2340
329,2018-11-26,2309
330,2018-11-27,2311
331,2018-11-28,2491
332,2018-11-29,2344
333,2018-11-30,2357
334,2018-12-01,2453
335,2018-12-02,2494
336,2018-12-03,2250
337,2018-12-04,2261
338,2018-12-05,2247
339,2018-12-06,2249
340,2018-12-07,2329
341,2018-12-08,2358
342,2018-12-09,2186
343,2018-12-10,2062
344,2018-12-11,2160
345,2018-12-12,2154
346,2018-12-13,2173
347,2018-12-14,2284
348,2018-12-15,2380
349,2018-12-16,2289
350,2018-12-17,2233
351,2018-12-18,2254
352,2018-12-19,2223
353,2018-12-20,2277
354,2018-12-21,2446
355,2018-12-22,2516
356,2018-12-23,2386
357,2018-12-24,2361
358,2018-12-25,2337
359,2018-12-26,2370
360,2018-12-27,2336
361,2018-12-28,2249
362,2018-12-29,2348
363,2018-12-30,2388
364,2018-12-31,2793
