c位,Date,DecryptedData
285,2017-10-13,885
286,2017-10-14,855
287,2017-10-15,738
288,2017-10-16,742
289,2017-10-17,941
290,2017-10-18,923
291,2017-10-19,768
292,2017-10-20,794
293,2017-10-21,886
294,2017-10-22,896
295,2017-10-23,735
296,2017-10-24,655
297,2017-10-25,842
298,2017-10-26,790
299,2017-10-27,970
300,2017-10-28,1044
301,2017-10-29,1095
302,2017-10-30,961
303,2017-10-31,1094
304,2017-11-01,1325
305,2017-11-02,1224
306,2017-11-03,1097
307,2017-11-04,1034
308,2017-11-05,1273
309,2017-11-06,1127
310,2017-11-07,1048
311,2017-11-08,1153
312,2017-11-09,1090
313,2017-11-10,912
314,2017-11-11,1014
315,2017-11-12,1083
316,2017-11-13,1213
317,2017-11-14,1182
318,2017-11-15,1149
319,2017-11-16,1059
320,2017-11-17,1093
321,2017-11-18,1299
322,2017-11-19,1563
323,2017-11-20,1186
324,2017-11-21,1080
325,2017-11-22,1128
326,2017-11-23,1126
327,2017-11-24,1022
328,2017-11-25,998
329,2017-11-26,983
330,2017-11-27,964
331,2017-11-28,1012
332,2017-11-29,967
333,2017-11-30,960
334,2017-12-01,981
335,2017-12-02,891
336,2017-12-03,898
337,2017-12-04,951
338,2017-12-05,947
339,2017-12-06,914
340,2017-12-07,940
341,2017-12-08,917
342,2017-12-09,889
343,2017-12-10,850
344,2017-12-11,918
345,2017-12-12,857
346,2017-12-13,771
347,2017-12-14,918
348,2017-12-15,885
349,2017-12-16,800
350,2017-12-17,785
351,2017-12-18,1079
352,2017-12-19,939
353,2017-12-20,841
354,2017-12-21,1201
355,2017-12-22,1218
356,2017-12-23,1367
357,2017-12-24,1072
358,2017-12-25,1052
359,2017-12-26,1265
360,2017-12-27,1415
361,2017-12-28,1254
362,2017-12-29,1450
363,2017-12-30,1359
364,2017-12-31,1248
