逗比,Date,DecryptedData
265,2014-09-23,4485
266,2014-09-24,4756
267,2014-09-25,5371
268,2014-09-26,4641
269,2014-09-27,4707
270,2014-09-28,4485
271,2014-09-29,4361
272,2014-09-30,4733
273,2014-10-01,5044
274,2014-10-02,5161
275,2014-10-03,5387
276,2014-10-04,5417
277,2014-10-05,5507
278,2014-10-06,5417
279,2014-10-07,5015
280,2014-10-08,4108
281,2014-10-09,4054
282,2014-10-10,4324
283,2014-10-11,5425
284,2014-10-12,5769
285,2014-10-13,5038
286,2014-10-14,4600
287,2014-10-15,4500
288,2014-10-16,4338
289,2014-10-17,4606
290,2014-10-18,4947
291,2014-10-19,4985
292,2014-10-20,4761
293,2014-10-21,4489
294,2014-10-22,4169
295,2014-10-23,3723
296,2014-10-24,3794
297,2014-10-25,4074
298,2014-10-26,4032
299,2014-10-27,3658
300,2014-10-28,3443
301,2014-10-29,4004
302,2014-10-30,3838
303,2014-10-31,3635
304,2014-11-01,4098
305,2014-11-02,3878
306,2014-11-03,3165
307,2014-11-04,3317
308,2014-11-05,3296
309,2014-11-06,3385
310,2014-11-07,3692
311,2014-11-08,3649
312,2014-11-09,3709
313,2014-11-10,3607
314,2014-11-11,3651
315,2014-11-12,3995
316,2014-11-13,3729
317,2014-11-14,3820
318,2014-11-15,4676
319,2014-11-16,4227
320,2014-11-17,3568
321,2014-11-18,3481
322,2014-11-19,3458
323,2014-11-20,3434
324,2014-11-21,3470
325,2014-11-22,3753
326,2014-11-23,3683
327,2014-11-24,3428
328,2014-11-25,3564
329,2014-11-26,3485
330,2014-11-27,3607
331,2014-11-28,3660
332,2014-11-29,3917
333,2014-11-30,3491
334,2014-12-01,3076
335,2014-12-02,3226
336,2014-12-03,3020
337,2014-12-04,2886
338,2014-12-05,2878
339,2014-12-06,3082
340,2014-12-07,3155
341,2014-12-08,2796
342,2014-12-09,2837
343,2014-12-10,2804
344,2014-12-11,2945
345,2014-12-12,2925
346,2014-12-13,3122
347,2014-12-14,3178
348,2014-12-15,3066
349,2014-12-16,3019
350,2014-12-17,3123
351,2014-12-18,3025
352,2014-12-19,2979
353,2014-12-20,3167
354,2014-12-21,3380
355,2014-12-22,2817
356,2014-12-23,2754
357,2014-12-24,2818
358,2014-12-25,3221
359,2014-12-26,3405
360,2014-12-27,3480
361,2014-12-28,3442
362,2014-12-29,3130
363,2014-12-30,3381
364,2014-12-31,3591
