爸爸去哪,Date,DecryptedData
289,2013-10-17,33232
290,2013-10-18,85822
291,2013-10-19,157283
292,2013-10-20,78492
293,2013-10-21,58258
294,2013-10-22,59791
295,2013-10-23,54290
296,2013-10-24,49091
297,2013-10-25,96712
298,2013-10-26,154134
299,2013-10-27,91128
300,2013-10-28,64927
301,2013-10-29,53264
302,2013-10-30,47372
303,2013-10-31,46331
304,2013-11-01,94185
305,2013-11-02,174513
306,2013-11-03,74401
307,2013-11-04,63023
308,2013-11-05,60431
309,2013-11-06,56493
310,2013-11-07,52689
311,2013-11-08,97676
312,2013-11-09,198521
313,2013-11-10,103190
314,2013-11-11,60356
315,2013-11-12,54771
316,2013-11-13,47346
317,2013-11-14,44558
318,2013-11-15,83505
319,2013-11-16,182837
320,2013-11-17,81196
321,2013-11-18,55199
322,2013-11-19,52595
323,2013-11-20,50085
324,2013-11-21,46348
325,2013-11-22,89544
326,2013-11-23,248466
327,2013-11-24,127512
328,2013-11-25,69657
329,2013-11-26,56700
330,2013-11-27,53674
331,2013-11-28,48812
332,2013-11-29,96036
333,2013-11-30,235170
334,2013-12-01,109420
335,2013-12-02,65164
336,2013-12-03,51906
337,2013-12-04,50165
338,2013-12-05,48826
339,2013-12-06,80588
340,2013-12-07,165571
341,2013-12-08,82317
342,2013-12-09,53914
343,2013-12-10,36468
344,2013-12-11,29075
345,2013-12-12,25516
346,2013-12-13,49272
347,2013-12-14,128690
348,2013-12-15,56528
349,2013-12-16,31194
350,2013-12-17,26048
351,2013-12-18,23481
352,2013-12-19,23449
353,2013-12-20,42495
354,2013-12-21,119987
355,2013-12-22,53990
356,2013-12-23,34193
357,2013-12-24,27470
358,2013-12-25,24193
359,2013-12-26,24738
360,2013-12-27,45558
361,2013-12-28,117592
362,2013-12-29,48113
363,2013-12-30,29190
364,2013-12-31,29289
