喜大普奔,Date,DecryptedData
276,2013-10-04,3838
277,2013-10-05,3980
278,2013-10-06,4030
279,2013-10-07,4735
280,2013-10-08,4933
281,2013-10-09,4424
282,2013-10-10,4255
283,2013-10-11,4347
284,2013-10-12,4228
285,2013-10-13,3839
286,2013-10-14,4708
287,2013-10-15,4462
288,2013-10-16,4508
289,2013-10-17,5387
290,2013-10-18,4526
291,2013-10-19,3452
292,2013-10-20,3297
293,2013-10-21,3775
294,2013-10-22,3923
295,2013-10-23,3743
296,2013-10-24,5100
297,2013-10-25,5607
298,2013-10-26,4434
299,2013-10-27,3858
300,2013-10-28,4559
301,2013-10-29,5103
302,2013-10-30,4873
303,2013-10-31,5000
304,2013-11-01,4096
305,2013-11-02,3470
306,2013-11-03,3204
307,2013-11-04,4358
308,2013-11-05,3826
309,2013-11-06,5233
310,2013-11-07,5680
311,2013-11-08,6074
312,2013-11-09,4352
313,2013-11-10,4710
314,2013-11-11,4563
315,2013-11-12,4339
316,2013-11-13,5511
317,2013-11-14,5178
318,2013-11-15,5036
319,2013-11-16,4336
320,2013-11-17,3613
321,2013-11-18,4114
322,2013-11-19,4197
323,2013-11-20,3762
324,2013-11-21,4100
325,2013-11-22,3927
326,2013-11-23,2833
327,2013-11-24,3215
328,2013-11-25,4211
329,2013-11-26,3608
330,2013-11-27,3812
331,2013-11-28,4087
332,2013-11-29,4570
333,2013-11-30,3678
334,2013-12-01,3352
335,2013-12-02,4454
336,2013-12-03,6931
337,2013-12-04,5342
338,2013-12-05,4789
339,2013-12-06,4331
340,2013-12-07,3410
341,2013-12-08,3485
342,2013-12-09,4102
343,2013-12-10,4415
344,2013-12-11,4525
345,2013-12-12,6870
346,2013-12-13,6342
347,2013-12-14,4113
348,2013-12-15,8252
349,2013-12-16,11137
350,2013-12-17,11157
351,2013-12-18,11450
352,2013-12-19,11463
353,2013-12-20,10493
354,2013-12-21,9632
355,2013-12-22,8160
356,2013-12-23,13502
357,2013-12-24,11569
358,2013-12-25,10254
359,2013-12-26,8271
360,2013-12-27,7745
361,2013-12-28,6459
362,2013-12-29,7371
363,2013-12-30,9985
364,2013-12-31,11641
