大妈,Date,DecryptedData
289,2013-10-17,362
290,2013-10-18,446
291,2013-10-19,388
292,2013-10-20,383
293,2013-10-21,376
294,2013-10-22,359
295,2013-10-23,338
296,2013-10-24,403
297,2013-10-25,658
298,2013-10-26,546
299,2013-10-27,443
300,2013-10-28,391
301,2013-10-29,350
302,2013-10-30,488
303,2013-10-31,446
304,2013-11-01,399
305,2013-11-02,398
306,2013-11-03,376
307,2013-11-04,408
308,2013-11-05,380
309,2013-11-06,434
310,2013-11-07,385
311,2013-11-08,479
312,2013-11-09,458
313,2013-11-10,431
314,2013-11-11,440
315,2013-11-12,439
316,2013-11-13,439
317,2013-11-14,1549
318,2013-11-15,800
319,2013-11-16,519
320,2013-11-17,1064
321,2013-11-18,885
322,2013-11-19,992
323,2013-11-20,716
324,2013-11-21,786
325,2013-11-22,700
326,2013-11-23,670
327,2013-11-24,677
328,2013-11-25,738
329,2013-11-26,645
330,2013-11-27,643
331,2013-11-28,545
332,2013-11-29,578
333,2013-11-30,615
334,2013-12-01,560
335,2013-12-02,600
336,2013-12-03,1182
337,2013-12-04,1287
338,2013-12-05,868
339,2013-12-06,635
340,2013-12-07,748
341,2013-12-08,693
342,2013-12-09,784
343,2013-12-10,568
344,2013-12-11,586
345,2013-12-12,868
346,2013-12-13,774
347,2013-12-14,631
348,2013-12-15,645
349,2013-12-16,636
350,2013-12-17,641
351,2013-12-18,561
352,2013-12-19,529
353,2013-12-20,573
354,2013-12-21,555
355,2013-12-22,548
356,2013-12-23,835
357,2013-12-24,714
358,2013-12-25,585
359,2013-12-26,580
360,2013-12-27,809
361,2013-12-28,680
362,2013-12-29,571
363,2013-12-30,628
364,2013-12-31,634
