颜值,Date,DecryptedData
265,2015-09-23,1300
266,2015-09-24,1328
267,2015-09-25,1281
268,2015-09-26,1375
269,2015-09-27,1286
270,2015-09-28,1161
271,2015-09-29,1246
272,2015-09-30,1303
273,2015-10-01,1361
274,2015-10-02,1257
275,2015-10-03,1331
276,2015-10-04,1446
277,2015-10-05,1320
278,2015-10-06,1349
279,2015-10-07,1351
280,2015-10-08,1389
281,2015-10-09,1313
282,2015-10-10,1309
283,2015-10-11,1322
284,2015-10-12,1188
285,2015-10-13,1208
286,2015-10-14,1192
287,2015-10-15,1426
288,2015-10-16,1236
289,2015-10-17,1322
290,2015-10-18,1339
291,2015-10-19,1339
292,2015-10-20,1304
293,2015-10-21,1227
294,2015-10-22,1273
295,2015-10-23,1160
296,2015-10-24,1283
297,2015-10-25,1207
298,2015-10-26,1261
299,2015-10-27,1243
300,2015-10-28,1157
301,2015-10-29,1161
302,2015-10-30,1111
303,2015-10-31,1149
304,2015-11-01,1126
305,2015-11-02,1461
306,2015-11-03,1179
307,2015-11-04,1265
308,2015-11-05,1221
309,2015-11-06,1138
310,2015-11-07,1246
311,2015-11-08,1160
312,2015-11-09,1096
313,2015-11-10,1005
314,2015-11-11,971
315,2015-11-12,1135
316,2015-11-13,1238
317,2015-11-14,1133
318,2015-11-15,1225
319,2015-11-16,1056
320,2015-11-17,1053
321,2015-11-18,1128
322,2015-11-19,1082
323,2015-11-20,1079
324,2015-11-21,1270
325,2015-11-22,1172
326,2015-11-23,1097
327,2015-11-24,1022
328,2015-11-25,917
329,2015-11-26,962
330,2015-11-27,995
331,2015-11-28,1210
332,2015-11-29,1135
333,2015-11-30,983
334,2015-12-01,1102
335,2015-12-02,999
336,2015-12-03,1032
337,2015-12-04,941
338,2015-12-05,1296
339,2015-12-06,1328
340,2015-12-07,1179
341,2015-12-08,1089
342,2015-12-09,1155
343,2015-12-10,1166
344,2015-12-11,1221
345,2015-12-12,1333
346,2015-12-13,1436
347,2015-12-14,1246
348,2015-12-15,1220
349,2015-12-16,1419
350,2015-12-17,1245
351,2015-12-18,1242
352,2015-12-19,1304
353,2015-12-20,1277
354,2015-12-21,1243
355,2015-12-22,1440
356,2015-12-23,1450
357,2015-12-24,1275
358,2015-12-25,1169
359,2015-12-26,1241
360,2015-12-27,1272
361,2015-12-28,1221
362,2015-12-29,1180
363,2015-12-30,1141
364,2015-12-31,1134
