狗粮,Date,DecryptedData
265,2016-09-22,1539
266,2016-09-23,1583
267,2016-09-24,1556
268,2016-09-25,1661
269,2016-09-26,1783
270,2016-09-27,1682
271,2016-09-28,1630
272,2016-09-29,1569
273,2016-09-30,1547
274,2016-10-01,1566
275,2016-10-02,1783
276,2016-10-03,1801
277,2016-10-04,1861
278,2016-10-05,1917
279,2016-10-06,1955
280,2016-10-07,1822
281,2016-10-08,1701
282,2016-10-09,1654
283,2016-10-10,1695
284,2016-10-11,1700
285,2016-10-12,1672
286,2016-10-13,1797
287,2016-10-14,1602
288,2016-10-15,1754
289,2016-10-16,1824
290,2016-10-17,1743
291,2016-10-18,1831
292,2016-10-19,1932
293,2016-10-20,1858
294,2016-10-21,1946
295,2016-10-22,2079
296,2016-10-23,1944
297,2016-10-24,1925
298,2016-10-25,1944
299,2016-10-26,1975
300,2016-10-27,1966
301,2016-10-28,1944
302,2016-10-29,1847
303,2016-10-30,1842
304,2016-10-31,1992
305,2016-11-01,1937
306,2016-11-02,1977
307,2016-11-03,1962
308,2016-11-04,2035
309,2016-11-05,2019
310,2016-11-06,2286
311,2016-11-07,2333
312,2016-11-08,2373
313,2016-11-09,2321
314,2016-11-10,4315
315,2016-11-11,9021
316,2016-11-12,2701
317,2016-11-13,2149
318,2016-11-14,2079
319,2016-11-15,1900
320,2016-11-16,2033
321,2016-11-17,1900
322,2016-11-18,1922
323,2016-11-19,1745
324,2016-11-20,1802
325,2016-11-21,1947
326,2016-11-22,1767
327,2016-11-23,1738
328,2016-11-24,1938
329,2016-11-25,1800
330,2016-11-26,1622
331,2016-11-27,1541
332,2016-11-28,1696
333,2016-11-29,1562
334,2016-11-30,1768
335,2016-12-01,1616
336,2016-12-02,1606
337,2016-12-03,1699
338,2016-12-04,1691
339,2016-12-05,1714
340,2016-12-06,1842
341,2016-12-07,1804
342,2016-12-08,1662
343,2016-12-09,1792
344,2016-12-10,1739
345,2016-12-11,1773
346,2016-12-12,1845
347,2016-12-13,1664
348,2016-12-14,1635
349,2016-12-15,1605
350,2016-12-16,1605
351,2016-12-17,1527
352,2016-12-18,1525
353,2016-12-19,1743
354,2016-12-20,1814
355,2016-12-21,1886
356,2016-12-22,1714
357,2016-12-23,1813
358,2016-12-24,2654
359,2016-12-25,2513
360,2016-12-26,1956
361,2016-12-27,1900
362,2016-12-28,1747
363,2016-12-29,1637
364,2016-12-30,1863
365,2016-12-31,2247
