清真,Date,DecryptedData
272,2016-09-29,1408
273,2016-09-30,1270
274,2016-10-01,1197
275,2016-10-02,1217
276,2016-10-03,1265
277,2016-10-04,1253
278,2016-10-05,1328
279,2016-10-06,1376
280,2016-10-07,1390
281,2016-10-08,1396
282,2016-10-09,1345
283,2016-10-10,1314
284,2016-10-11,1324
285,2016-10-12,1335
286,2016-10-13,1324
287,2016-10-14,1278
288,2016-10-15,1275
289,2016-10-16,1256
290,2016-10-17,1382
291,2016-10-18,1326
292,2016-10-19,1392
293,2016-10-20,1437
294,2016-10-21,1324
295,2016-10-22,1230
296,2016-10-23,1211
297,2016-10-24,1315
298,2016-10-25,1382
299,2016-10-26,1289
300,2016-10-27,1355
301,2016-10-28,1345
302,2016-10-29,1312
303,2016-10-30,1237
304,2016-10-31,1327
305,2016-11-01,1328
306,2016-11-02,1341
307,2016-11-03,1318
308,2016-11-04,1973
309,2016-11-05,1854
310,2016-11-06,1821
311,2016-11-07,1703
312,2016-11-08,1494
313,2016-11-09,1471
314,2016-11-10,1405
315,2016-11-11,1367
316,2016-11-12,1339
317,2016-11-13,1296
318,2016-11-14,1357
319,2016-11-15,1356
320,2016-11-16,1360
321,2016-11-17,1387
322,2016-11-18,1374
323,2016-11-19,1324
324,2016-11-20,1339
325,2016-11-21,1470
326,2016-11-22,1345
327,2016-11-23,1364
328,2016-11-24,1428
329,2016-11-25,1323
330,2016-11-26,1637
331,2016-11-27,1389
332,2016-11-28,1393
333,2016-11-29,1324
334,2016-11-30,1270
335,2016-12-01,1305
336,2016-12-02,1267
337,2016-12-03,1299
338,2016-12-04,1220
339,2016-12-05,1443
340,2016-12-06,1362
341,2016-12-07,1304
342,2016-12-08,1352
343,2016-12-09,1353
344,2016-12-10,1283
345,2016-12-11,1444
346,2016-12-12,1841
347,2016-12-13,1445
348,2016-12-14,1344
349,2016-12-15,1519
350,2016-12-16,1335
351,2016-12-17,1266
352,2016-12-18,1224
353,2016-12-19,1305
354,2016-12-20,1527
355,2016-12-21,1381
356,2016-12-22,1382
357,2016-12-23,1297
358,2016-12-24,1253
359,2016-12-25,1263
360,2016-12-26,1410
361,2016-12-27,1519
362,2016-12-28,1341
363,2016-12-29,1305
364,2016-12-30,1296
365,2016-12-31,1199
