LSP,Date,DecryptedData
279,2020-10-06,6077
280,2020-10-07,5353
281,2020-10-08,4588
282,2020-10-09,4521
283,2020-10-10,4359
284,2020-10-11,4245
285,2020-10-12,4367
286,2020-10-13,4028
287,2020-10-14,3767
288,2020-10-15,3709
289,2020-10-16,3538
290,2020-10-17,3724
291,2020-10-18,3826
292,2020-10-19,4380
293,2020-10-20,3680
294,2020-10-21,3457
295,2020-10-22,3544
296,2020-10-23,3560
297,2020-10-24,3447
298,2020-10-25,3573
299,2020-10-26,6375
300,2020-10-27,10517
301,2020-10-28,5458
302,2020-10-29,5481
303,2020-10-30,4324
304,2020-10-31,4880
305,2020-11-01,4340
306,2020-11-02,4951
307,2020-11-03,4073
308,2020-11-04,3789
309,2020-11-05,4284
310,2020-11-06,5242
311,2020-11-07,4716
312,2020-11-08,4242
313,2020-11-09,3863
314,2020-11-10,3572
315,2020-11-11,3339
316,2020-11-12,3501
317,2020-11-13,4453
318,2020-11-14,3760
319,2020-11-15,3838
320,2020-11-16,3941
321,2020-11-17,4567
322,2020-11-18,4558
323,2020-11-19,4445
324,2020-11-20,4169
325,2020-11-21,4053
326,2020-11-22,4255
327,2020-11-23,3687
328,2020-11-24,3938
329,2020-11-25,3649
330,2020-11-26,3579
331,2020-11-27,3785
332,2020-11-28,3675
333,2020-11-29,3434
334,2020-11-30,3658
335,2020-12-01,4300
336,2020-12-02,5945
337,2020-12-03,6315
338,2020-12-04,6133
339,2020-12-05,6598
340,2020-12-06,21618
341,2020-12-07,13749
342,2020-12-08,8902
343,2020-12-09,7577
344,2020-12-10,6964
345,2020-12-11,7066
346,2020-12-12,7063
347,2020-12-13,7127
348,2020-12-14,5891
349,2020-12-15,5958
350,2020-12-16,6335
351,2020-12-17,5704
352,2020-12-18,5915
353,2020-12-19,6059
354,2020-12-20,6423
355,2020-12-21,6258
356,2020-12-22,5729
357,2020-12-23,5513
358,2020-12-24,5480
359,2020-12-25,5658
360,2020-12-26,5962
361,2020-12-27,6326
362,2020-12-28,6052
363,2020-12-29,6740
364,2020-12-30,6160
365,2020-12-31,5648
